case,iou,dice
benign (128),0.8696911334991455,0.9303045868873596
malignant (186),0.8585249185562134,0.9238777756690979
benign (378),0.92001873254776,0.958343505859375
benign (202),0.7833753228187561,0.8785310983657837
benign (214),0.8893923163414001,0.9414585828781128
benign (63),0.8826979398727417,0.9376947283744812
benign (15),0.8348909616470337,0.9100169539451599
malignant (37),0.9076966047286987,0.9516152739524841
malignant (103),0.7729617953300476,0.8719441294670105
malignant (108),0.7887442111968994,0.8818971514701843
benign (301),0.7967032790184021,0.8868501782417297
benign (29),0.8529411554336548,0.920634925365448
malignant (139),0.8238977789878845,0.9034473299980164
malignant (135),0.8644750714302063,0.9273120164871216
benign (89),0.9383753538131714,0.9682080745697021
benign (121),0.909003496170044,0.9523329734802246
benign (286),0.9490559101104736,0.9738621711730957
benign (16),0.8862179517745972,0.9396771192550659
benign (140),0.7683054804801941,0.8689736723899841
benign (114),3.019323679964714e-09,3.019323679964714e-09
benign (78),0.8353326320648193,0.9102792739868164
benign (169),0.7657430768013,0.867332398891449
benign (357),0.766842782497406,0.8680374026298523
benign (362),0.768478274345398,0.8690841794013977
benign (385),0.9125683307647705,0.954285740852356
malignant (130),0.8919299840927124,0.9428784251213074
benign (141),0.8908295631408691,0.9422631859779358
benign (250),0.8569148778915405,0.9229447245597839
benign (62),0.8904638886451721,0.9420586228370667
benign (334),0.8635014891624451,0.9267516136169434
benign (231),0.8984477519989014,0.9465077519416809
benign (249),0.9144210815429688,0.9552977681159973
malignant (28),0.8494002819061279,0.9185683131217957
benign (117),0.8858363628387451,0.9394626021385193
benign (297),0.9434804320335388,0.9709183573722839
malignant (179),0.5864909291267395,0.7393561601638794
benign (71),0.6729776263237,0.8045267462730408
malignant (2),0.8024042844772339,0.8903710246086121
benign (253),0.869114100933075,0.929974377155304
malignant (86),0.8256593942642212,0.9045053720474243
malignant (84),0.8336801528930664,0.9092972278594971
benign (271),0.8691347241401672,0.9299861788749695
benign (74),0.8593448996543884,0.9243523478507996
benign (72),0.9160701632499695,0.9561969041824341
malignant (36),0.4900778532028198,0.6577882766723633
benign (212),0.03760901466012001,0.07249168306589127
malignant (124),0.5029796361923218,0.6693099737167358
benign (56),0.888318657875061,0.9408567547798157
malignant (49),0.7701594829559326,0.8701582551002502
malignant (176),0.3471717834472656,0.5154083371162415
malignant (194),0.7528144717216492,0.8589779138565063
benign (405),0.6547414064407349,0.7913519144058228
benign (213),0.8269771337509155,0.9052955508232117
malignant (118),0.8469468951225281,0.9171318411827087
malignant (62),0.8151641488075256,0.8981713056564331
malignant (127),0.8114885091781616,0.895935595035553
benign (44),0.9333333373069763,0.9655172228813171
malignant (21),7.700600712645667e-10,7.700600712645667e-10
malignant (164),0.6706116795539856,0.8028337359428406
malignant (204),0.601111650466919,0.7508679032325745
benign (352),0.9336941838264465,0.9657102823257446
benign (195),0.6540313363075256,0.790833055973053
benign (337),0.6890138387680054,0.8158770799636841
benign (314),0.16571427881717682,0.28431373834609985
benign (313),0.7250000238418579,0.8405796885490417
malignant (162),0.8785541653633118,0.9353514313697815
malignant (65),0.6384119987487793,0.7793058156967163
benign (191),0.83989018201828,0.9129785895347595
malignant (144),0.7712981700897217,0.8708845973014832
benign (435),0.9042338728904724,0.9497088193893433
malignant (25),0.7522385120391846,0.8586028814315796
malignant (187),0.3085671067237854,0.4716106653213501
malignant (152),0.125191792845726,0.22252525389194489
benign (101),0.9142857193946838,0.9552238583564758
malignant (167),0.8989152312278748,0.9467670917510986
malignant (5),0.7773882746696472,0.874753475189209
benign (225),0.8794373869895935,0.9358517527580261
benign (47),0.7335243821144104,0.8462809920310974
malignant (47),0.8031418919563293,0.8908249735832214
malignant (34),0.6634691953659058,0.7976934313774109
benign (365),0.8965047597885132,0.9454284310340881
benign (221),0.8656488656997681,0.9279869198799133
benign (69),0.861774742603302,0.9257562160491943
malignant (54),0.8667137026786804,0.9285984039306641
benign (110),0.9160774946212769,0.9562008380889893
benign (75),0.9140753149986267,0.9551090002059937
malignant (137),0.6686519980430603,0.8014277219772339
benign (290),0.9090909361839294,0.9523809552192688
benign (96),0.9173890352249146,0.9569148421287537
benign (383),0.8009172677993774,0.8894547820091248
