case,iou,dice
benign (128),0.850047767162323,0.9189468026161194
malignant (186),0.6551486849784851,0.791649341583252
benign (378),0.838079035282135,0.9119074940681458
benign (202),0.7487309575080872,0.8563135266304016
benign (214),0.8711784482002258,0.9311548471450806
benign (63),0.8990825414657593,0.9468598961830139
benign (15),0.8374999761581421,0.9115646481513977
malignant (37),0.2822844088077545,0.4402836263179779
malignant (103),0.5531688928604126,0.7123100161552429
malignant (108),0.004932527896016836,0.00981663353741169
benign (301),0.7921348214149475,0.8840125203132629
benign (29),0.15179021656513214,0.26357269287109375
malignant (139),0.8152342438697815,0.898213803768158
malignant (135),0.8226559162139893,0.9027001857757568
benign (89),0.16181643307209015,0.2785576581954956
benign (121),0.9119922518730164,0.9539706707000732
benign (286),0.9416813850402832,0.969964861869812
benign (16),0.8767772316932678,0.9343434572219849
benign (140),0.9128347635269165,0.9544313549995422
benign (114),2.875215621145344e-09,2.875215621145344e-09
benign (78),0.5815011262893677,0.7353787422180176
benign (169),0.45098042488098145,0.6216216087341309
benign (357),0.8501980304718018,0.9190346598625183
benign (362),0.7940528392791748,0.8852056264877319
benign (385),0.8513415455818176,0.9197022914886475
malignant (130),0.8977339267730713,0.9461115002632141
benign (141),0.8089476227760315,0.8943848013877869
benign (250),0.8679141402244568,0.9292869567871094
benign (62),0.9031369686126709,0.9491034746170044
benign (334),0.9012048244476318,0.948035478591919
benign (231),0.8695878982543945,0.9302455186843872
benign (249),0.91135573387146,0.9536222815513611
malignant (28),0.858590304851532,0.9239156246185303
benign (117),0.8869884014129639,0.9401100873947144
benign (297),0.9308642148971558,0.9641943573951721
malignant (179),0.6262714862823486,0.7701930403709412
benign (71),0.6020236015319824,0.7515789270401001
malignant (2),0.6577163338661194,0.793520987033844
benign (253),0.8352102041244507,0.9102066159248352
malignant (86),0.8535658121109009,0.9209986925125122
malignant (84),0.6200640201568604,0.7654808759689331
benign (271),0.8476151823997498,0.9175235033035278
benign (74),0.8965517282485962,0.9454545378684998
benign (72),0.6420151591300964,0.7819844484329224
malignant (36),0.8114380240440369,0.8959048390388489
benign (212),1.8168604398738353e-09,1.8168604398738353e-09
malignant (124),0.8811282515525818,0.9368082880973816
benign (56),0.8788697719573975,0.9355302453041077
malignant (49),0.7556730508804321,0.8608357310295105
malignant (176),0.39632418751716614,0.5676679015159607
malignant (194),0.49762195348739624,0.6645494699478149
benign (405),0.606528103351593,0.7550793290138245
benign (213),0.8769538998603821,0.9344437122344971
malignant (118),0.5925954580307007,0.7441883087158203
malignant (62),0.8355816006660461,0.9104270935058594
malignant (127),0.8834417462348938,0.9381142258644104
benign (44),0.926203191280365,0.9616879224777222
malignant (21),0.020031748339533806,0.039276715368032455
malignant (164),0.7515884637832642,0.8581792712211609
malignant (204),0.4867367446422577,0.6547719240188599
benign (352),0.8757764101028442,0.9337748289108276
benign (195),0.851622462272644,0.9198662042617798
benign (337),0.7941478490829468,0.8852646350860596
benign (314),0.05659392476081848,0.10712520778179169
benign (313),3.066543907692676e-09,3.066543907692676e-09
