case,iou,dice
benign (128),0.8486589789390564,0.9181346893310547
malignant (186),0.7747874855995178,0.8731045126914978
benign (378),0.8507333993911743,0.91934734582901
benign (202),0.7954545617103577,0.8860759735107422
benign (214),0.8683236241340637,0.9295216798782349
benign (63),0.8890600800514221,0.9412724375724792
benign (15),0.8297213912010193,0.9069374203681946
malignant (37),0.003482835367321968,0.006941493600606918
malignant (103),0.7307239770889282,0.844414234161377
malignant (108),0.11636226624250412,0.20846685767173767
benign (301),0.8049450516700745,0.891933023929596
benign (29),0.8016085624694824,0.8898809552192688
malignant (139),0.8223331570625305,0.9025058746337891
malignant (135),0.8307170271873474,0.9075318574905396
benign (89),0.7559880018234253,0.8610400557518005
benign (121),0.9066709280014038,0.9510512948036194
benign (286),0.9471582770347595,0.9728621244430542
benign (16),0.8821656107902527,0.9373942613601685
benign (140),0.8872390985488892,0.9402508735656738
benign (114),2.874389171125813e-09,2.874389171125813e-09
benign (78),0.8410596251487732,0.9136690497398376
benign (169),0.7446236610412598,0.8536209464073181
benign (357),0.8896810412406921,0.9416203498840332
benign (362),0.8392652273178101,0.9126092195510864
benign (385),0.8783128261566162,0.935214638710022
malignant (130),0.9070949554443359,0.9512845277786255
benign (141),0.8603102564811707,0.9249104857444763
benign (250),0.8765432238578796,0.9342105388641357
benign (62),0.88148432970047,0.9370095133781433
benign (334),0.9098063111305237,0.95277339220047
benign (231),0.86628657579422,0.9283532500267029
benign (249),0.9176470637321472,0.9570552110671997
malignant (28),0.8572695255279541,0.923150360584259
benign (117),0.8835365772247314,0.9381676912307739
benign (297),0.9367588758468628,0.9673469662666321
malignant (179),0.598975419998169,0.7491990327835083
benign (71),0.5817555785179138,0.735582172870636
malignant (2),0.7779408097267151,0.8751031160354614
benign (253),0.8243700861930847,0.9037311673164368
malignant (86),0.8784049153327942,0.9352668523788452
malignant (84),0.5956442356109619,0.7465877532958984
benign (271),0.8245059251785278,0.903812825679779
benign (74),0.8812260627746582,0.9368635416030884
benign (72),0.9086750149726868,0.952152669429779
malignant (36),0.8099220395088196,0.8949800133705139
benign (212),1.8168604398738353e-09,1.8168604398738353e-09
malignant (124),0.8548876047134399,0.92176753282547
benign (56),0.8850012421607971,0.9389927387237549
malignant (49),0.7660831809043884,0.8675504922866821
