case,iou,dice
benign (128),0.850047767162323,0.9189468026161194
malignant (186),0.6522616744041443,0.7895379662513733
benign (378),0.8251572251319885,0.9042040109634399
benign (202),0.7822784781455994,0.8778409361839294
benign (214),0.856957733631134,0.9229695796966553
benign (63),0.900306761264801,0.9475383162498474
benign (15),0.8246153593063354,0.9038785696029663
malignant (37),0.15648528933525085,0.270622193813324
malignant (103),0.6100746393203735,0.7578215599060059
malignant (108),0.09977473318576813,0.18144576251506805
benign (301),0.8083333373069763,0.8940092325210571
benign (29),0.8059298992156982,0.8925372958183289
malignant (139),0.823988139629364,0.9035016298294067
malignant (135),0.8258379101753235,0.9046125411987305
benign (89),0.18543653190135956,0.31285780668258667
benign (121),0.9083601236343384,0.9519797563552856
benign (286),0.9464559555053711,0.9724915027618408
benign (16),0.8783570528030396,0.9352396726608276
benign (140),0.9078295826911926,0.9516883492469788
benign (114),2.7525459689314857e-09,2.7525459689314857e-09
benign (78),0.8454746007919312,0.9162679314613342
benign (169),0.7161458134651184,0.8345978856086731
benign (357),0.8630780577659607,0.9265076518058777
benign (362),0.8139013648033142,0.8974041938781738
benign (385),0.872071385383606,0.9316647052764893
malignant (130),0.9099005460739136,0.9528250694274902
benign (141),0.821922242641449,0.9022583365440369
benign (250),0.875419020652771,0.9335716366767883
benign (62),0.8989572525024414,0.9467903971672058
benign (334),0.9030890464782715,0.9490770101547241
benign (231),0.8688183426856995,0.9298050403594971
benign (249),0.9163783192634583,0.9563647508621216
malignant (28),0.8561975955963135,0.9225285053253174
benign (117),0.8853658437728882,0.9391979575157166
benign (297),0.9344504475593567,0.9661146402359009
malignant (179),0.5857396125793457,0.73875892162323
benign (71),0.5955249667167664,0.7464940547943115
malignant (2),0.6895046234130859,0.8162210583686829
benign (253),0.8335216641426086,0.9092029333114624
malignant (86),0.8336305022239685,0.9092677235603333
malignant (84),0.5985969305038452,0.7489028573036194
benign (271),0.8318091630935669,0.908183217048645
benign (74),0.8908045887947083,0.9422492384910583
benign (72),0.8504027724266052,0.9191542267799377
malignant (36),0.7785930037498474,0.8755156397819519
benign (212),1.8168604398738353e-09,1.8168604398738353e-09
malignant (124),0.8559795618057251,0.9224019050598145
benign (56),0.8844738602638245,0.9386958479881287
malignant (49),0.7618409395217896,0.8648237586021423
malignant (176),0.44559234380722046,0.6164841055870056
malignant (194),0.5360881090164185,0.6979913115501404
benign (405),0.5119242668151855,0.6771823763847351
benign (213),0.8685370683670044,0.9296439290046692
malignant (118),0.6976786851882935,0.8219207525253296
malignant (62),0.8376837968826294,0.9116734862327576
malignant (127),0.897087574005127,0.9457523822784424
benign (44),0.9231590032577515,0.9600443840026855
malignant (21),0.23598694801330566,0.3818599283695221
malignant (164),0.738086998462677,0.8493096232414246
malignant (204),0.49619096517562866,0.6632722616195679
benign (352),0.884567141532898,0.9387483596801758
benign (195),0.8603903651237488,0.9249567985534668
benign (337),0.7903307676315308,0.8828880190849304
benign (314),0.06842908263206482,0.12809288501739502
benign (313),3.093102218798549e-09,3.093102218798549e-09
malignant (162),0.8625878095626831,0.9262251257896423
malignant (65),0.715438187122345,0.8341171145439148
benign (191),0.8306306600570679,0.9074802994728088
malignant (144),0.8466708660125732,0.9169699549674988
benign (435),0.8723404407501221,0.9318181872367859
malignant (25),0.7277579307556152,0.8424304127693176
malignant (187),0.5167953968048096,0.6814305782318115
malignant (152),0.11247286200523376,0.20220333337783813
benign (101),0.9053803086280823,0.9503408074378967
malignant (167),0.889174222946167,0.9413363933563232
malignant (5),0.6319758892059326,0.7744916677474976
benign (225),0.8318994045257568,0.9082369804382324
benign (47),0.7871148586273193,0.8808777332305908
malignant (47),0.8202422857284546,0.9012451767921448
malignant (34),0.7838441729545593,0.878825843334198
benign (365),0.8942908048629761,0.9441959261894226
benign (221),0.8811880946159363,0.9368420839309692
benign (69),0.788034200668335,0.8814531564712524
malignant (54),0.8689390420913696,0.9298741221427917
benign (110),0.9095662832260132,0.9526417255401611
benign (75),0.9220183491706848,0.9594271779060364
malignant (137),0.57804936170578,0.7326125502586365
benign (290),0.902431070804596,0.9487135410308838
benign (96),0.8811336159706116,0.9368112683296204
benign (383),0.7481028437614441,0.8559025526046753
malignant (117),0.5130085349082947,0.6781303882598877
benign (349),0.8805719017982483,0.9364937543869019
benign (219),0.5114200711250305,0.6767411231994629
malignant (197),0.47792118787765503,0.646747887134552
benign (291),0.8578947186470032,0.9235127568244934
benign (59),0.8401244878768921,0.9131170511245728
malignant (114),0.8217207193374634,0.9021368622779846
benign (14),0.7234848737716675,0.8395604491233826
benign (412),0.7300096154212952,0.8439370393753052
