case,iou,dice
benign (128),0.8521326780319214,0.9201637506484985
malignant (186),0.7709823846817017,0.8706833124160767
benign (378),0.8031655550003052,0.8908395171165466
benign (202),0.8115577697753906,0.895977795124054
benign (214),0.8778101205825806,0.9349295496940613
benign (63),0.8883792161941528,0.9408906698226929
benign (15),0.8338509202003479,0.9093987941741943
malignant (37),0.48367637395858765,0.6519971489906311
malignant (103),0.784421980381012,0.8791888952255249
malignant (108),0.1088169664144516,0.19627578556537628
benign (301),0.8065395355224609,0.8929110169410706
benign (29),0.8058510422706604,0.892488956451416
malignant (139),0.8239914178848267,0.9035035967826843
malignant (135),0.8436571955680847,0.9151996374130249
benign (89),0.813859760761261,0.8973789215087891
benign (121),0.9025087356567383,0.9487564563751221
benign (286),0.9447945952415466,0.9716137647628784
benign (16),0.8771653771400452,0.9345637559890747
benign (140),0.8228217959403992,0.9028000831604004
benign (114),0.018115943297743797,0.035587191581726074
benign (78),0.8355119824409485,0.9103857278823853
benign (169),0.7671957612037659,0.8682634830474854
benign (357),0.8425990343093872,0.9145766496658325
benign (362),0.8520641922950745,0.920123815536499
benign (385),0.869407057762146,0.9301420450210571
malignant (130),0.8962771892547607,0.94530189037323
benign (141),0.8748770952224731,0.9332634210586548
benign (250),0.8623347878456116,0.9260792136192322
benign (62),0.8182037472724915,0.900013267993927
benign (334),0.913520097732544,0.954805850982666
benign (231),0.8708257675170898,0.9309533834457397
benign (249),0.9194380640983582,0.9580283761024475
malignant (28),0.8556928634643555,0.9222354292869568
benign (117),0.8830694556236267,0.9379042983055115
benign (297),0.9407699704170227,0.9694811701774597
malignant (179),0.5996724367141724,0.7497440576553345
benign (71),0.5210843086242676,0.6851485371589661
malignant (2),0.8124834299087524,0.8965416550636292
benign (253),0.8177395462989807,0.8997323513031006
malignant (86),0.8643290996551514,0.9272280335426331
malignant (84),0.6144176721572876,0.7611632347106934
benign (271),0.8300835490226746,0.9071537256240845
benign (74),0.8927202820777893,0.9433198571205139
benign (72),0.9043782949447632,0.949788510799408
malignant (36),0.7433431148529053,0.8527789115905762
benign (212),1.8005040791635452e-09,1.8005040791635452e-09
malignant (124),0.8436303734779358,0.9151838421821594
benign (56),0.889132559299469,0.9413130283355713
malignant (49),0.7562301754951477,0.8611971139907837
malignant (176),0.40386244654655457,0.5753589868545532
malignant (194),0.6980501413345337,0.8221784830093384
benign (405),0.6494646072387695,0.7874853610992432
benign (213),0.8651999831199646,0.9277289509773254
malignant (118),0.7107089161872864,0.8308940529823303
malignant (62),0.7956824898719788,0.8862173557281494
malignant (127),0.9082934856414795,0.9519432187080383
benign (44),0.9204666018486023,0.9585863947868347
malignant (21),0.22014552354812622,0.3608512580394745
malignant (164),0.7907847762107849,0.8831712007522583
malignant (204),0.48390454053878784,0.6522043943405151
benign (352),0.8793532252311707,0.9358041286468506
benign (195),0.8519040942192078,0.9200304746627808
benign (337),0.7359367609024048,0.8478842973709106
benign (314),0.07782187312841415,0.1444058120250702
benign (313),2.3014958827616283e-09,2.3014958827616283e-09
malignant (162),0.8670159578323364,0.9287719130516052
malignant (65),0.7356114983558655,0.8476684093475342
benign (191),0.8316831588745117,0.908108115196228
malignant (144),0.8630629777908325,0.9264989495277405
benign (435),0.6535211205482483,0.7904599905014038
malignant (25),0.642937421798706,0.7826681733131409
malignant (187),0.5676196813583374,0.7241803407669067
malignant (152),0.1818436086177826,0.30772873759269714
benign (101),0.8995391726493835,0.947113037109375
malignant (167),0.8970479369163513,0.9457303881645203
