case,iou,dice
benign (128),0.8477640151977539,0.9176107048988342
malignant (186),0.7966955900192261,0.8868453502655029
benign (378),0.8505399823188782,0.9192343354225159
benign (202),0.8131313323974609,0.8969359397888184
benign (214),0.8759607672691345,0.9338796138763428
benign (63),0.8909370303153992,0.9423233270645142
benign (15),0.8297213912010193,0.9069374203681946
malignant (37),0.034401874989271164,0.0665154978632927
malignant (103),0.7203519344329834,0.8374471664428711
malignant (108),0.13086837530136108,0.23144759237766266
benign (301),0.807692289352417,0.8936170339584351
benign (29),0.8058510422706604,0.892488956451416
malignant (139),0.8299903273582458,0.9070980548858643
malignant (135),0.8389902710914612,0.9124466776847839
benign (89),0.7912431359291077,0.8834570050239563
benign (121),0.9022293090820312,0.948602020740509
benign (286),0.9500824213027954,0.9744023084640503
benign (16),0.8931419253349304,0.9435551762580872
benign (140),0.9085850119590759,0.9521032571792603
benign (114),0.0039447760209441185,0.007858549244701862
benign (78),0.8408342599868774,0.9135360717773438
benign (169),0.7625330090522766,0.8652694821357727
benign (357),0.9002614617347717,0.9475132822990417
benign (362),0.8446490168571472,0.9157829284667969
benign (385),0.8776951432228088,0.9348644018173218
malignant (130),0.8985456228256226,0.9465620517730713
benign (141),0.8749202489852905,0.9332879781723022
benign (250),0.8741685152053833,0.9328600764274597
benign (62),0.8980060815811157,0.9462625980377197
benign (334),0.9100850820541382,0.9529262185096741
benign (231),0.8688439726829529,0.9298197031021118
benign (249),0.9122606515884399,0.954117476940155
malignant (28),0.8565754890441895,0.922747790813446
benign (117),0.8807786107063293,0.9366105794906616
benign (297),0.9306784868240356,0.9640947580337524
malignant (179),0.6241986155509949,0.7686234712600708
benign (71),0.5379746556282043,0.6995884776115417
malignant (2),0.7852277159690857,0.8796947598457336
benign (253),0.8265765905380249,0.9050554633140564
malignant (86),0.8571251034736633,0.9230666160583496
malignant (84),0.6134670972824097,0.7604333758354187
benign (271),0.8161908388137817,0.8987941145896912
benign (74),0.9001919627189636,0.9474747180938721
benign (72),0.9056670069694519,0.9504987001419067
malignant (36),0.8193316459655762,0.9006952047348022
benign (212),1.8168604398738353e-09,1.8168604398738353e-09
malignant (124),0.8706160187721252,0.9308334589004517
benign (56),0.8870415687561035,0.9401399493217468
malignant (49),0.7671512961387634,0.8682349920272827
malignant (176),0.41981640458106995,0.5913671851158142
malignant (194),0.43035465478897095,0.6017453670501709
benign (405),0.584602415561676,0.7378537654876709
benign (213),0.8652539253234863,0.9277598857879639
malignant (118),0.7183005213737488,0.8360592722892761
malignant (62),0.7537050247192383,0.8595573306083679
malignant (127),0.9124863147735596,0.9542408585548401
benign (44),0.9301075339317322,0.9637883305549622
malignant (21),0.04880717769265175,0.09307178854942322
malignant (164),0.8152017593383789,0.8981940746307373
malignant (204),0.49967625737190247,0.6663788557052612
benign (352),0.8914141654968262,0.9425901174545288
benign (195),0.8590471744537354,0.9241800904273987
benign (337),0.7882294058799744,0.8815752267837524
benign (314),0.13036909699440002,0.2306664139032364
benign (313),3.1210984907659167e-09,3.1210984907659167e-09
malignant (162),0.8745118975639343,0.933055579662323
malignant (65),0.7353901863098145,0.8475214242935181
benign (191),0.8313795924186707,0.9079271554946899
malignant (144),0.821600615978241,0.9020645022392273
benign (435),0.8922155499458313,0.9430379867553711
malignant (25),0.7155676484107971,0.8342050909996033
malignant (187),0.5577998757362366,0.7161380648612976
malignant (152),0.1189960166811943,0.2126835435628891
benign (101),0.9044526815414429,0.9498295187950134
malignant (167),0.8968537449836731,0.945622444152832
malignant (5),0.6715667843818665,0.803517758846283
benign (225),0.8248127698898315,0.9039971232414246
benign (47),0.7805555462837219,0.8767550587654114
malignant (47),0.8398489356040955,0.9129542112350464
malignant (34),0.7624615430831909,0.8652234673500061
benign (365),0.8906180262565613,0.9421448707580566
benign (221),0.8814935088157654,0.937014639377594
benign (69),0.7948718070983887,0.8857142925262451
malignant (54),0.863237738609314,0.9265996813774109
benign (110),0.9149002432823181,0.9555591344833374
benign (75),0.920133113861084,0.9584055542945862
malignant (137),0.5626218318939209,0.7200998067855835
benign (290),0.899380624294281,0.9470251798629761
benign (96),0.8524099588394165,0.9203253984451294
benign (383),0.4353029131889343,0.6065658926963806
malignant (117),0.6712163090705872,0.8032668232917786
benign (349),0.9097744226455688,0.9527559280395508
benign (219),0.607520580291748,0.7558479309082031
malignant (197),0.40363985300064087,0.5751330852508545
benign (291),0.8612945675849915,0.9254790544509888
benign (59),0.8541136384010315,0.921317458152771
malignant (114),0.8187028169631958,0.9003151059150696
benign (14),0.716026246547699,0.8345166444778442
benign (412),0.8715841770172119,0.9313865900039673
benign (100),0.8842392563819885,0.9385636448860168
benign (203),0.9136350750923157,0.9548686742782593
